lat,lng,atclCfmYmd,atclNm,market_price,year,household_count,subway_line,subway_name,subway_distance,spc2,atclFetrDesc,tagList,현관구조,parking_per_household,min_floor,max_floor,direction,rooms,bath_rooms,location,atclNo
37.678681,127.044242,24.08.07.,럭키,34000,1992,630,1호선,도봉역,315.0,84.86,급전세 초역세권 융무 올수리깨끗합니다,"['25년이상', '올수리', '역세권', '방세개']",계단식,0.85,5,15,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 도봉동 595&service=opensearch,https://fin.land.naver.com/articles/2438771220
37.678681,127.044242,24.08.09.,럭키,34000,1992,630,1호선,도봉역,315.0,84.86,도봉역 초역세권 정남향 올수리 반전세 가,"['25년이상', '융자금없는', '올수리', '역세권']",계단식,0.85,5,15,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 도봉동 595&service=opensearch,https://fin.land.naver.com/articles/2439156805
37.643594,127.066652,24.07.30.,중계무지개,28000,1991,2433,7호선,중계역,166.0,59.26,"올수리,중계역,초중고,홈플러스,근린공원,종합병원10분이내","['25년이상', '올수리', '역세권', '대단지']",복도식,0.37,3,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 중계동 513&service=opensearch,https://fin.land.naver.com/articles/2437347164
37.682577,127.04918,24.08.12.,극동,37000,1991,205,1호선,도봉역,639.0,84.18,"최근 샷시포함 특올수리,주인거주로 상태굿긴정상","['25년이상', '올수리', '방세개']",계단식,0.8,13,15,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 도봉동 81-1&service=opensearch,https://fin.land.naver.com/articles/2439617540
37.661904,127.013651,24.08.09.,성원,35000,1990,262,우이신설,북한산우이역,253.0,84.98,남향 내부특급올수리 방3 화2 빠른 입주가능,"['25년이상', '융자금없는', '올수리', '역세권']",계단식,0.8,5,15,남향,3,2,https://map.kakao.com/?q=서울시 강북구 우이동 1&service=opensearch,https://fin.land.naver.com/articles/2439190145
37.661904,127.013651,24.08.10.,성원,35000,1990,262,우이신설,북한산우이역,253.0,84.98,우이역앞.특올수리.남향.전세대출보증보험가.엘베.주차,"['25년이상', '융자금없는', '올수리', '역세권']",계단식,0.8,저,15,남향,3,2,https://map.kakao.com/?q=서울시 강북구 우이동 1&service=opensearch,https://fin.land.naver.com/articles/2439258106
37.65377,127.04056,24.08.06.,창동주공1단지,32000,1990,808,4호선,창동역,772.0,59.22,방3 양쪽베란다 샷시포함수리된집  개별난방,"['25년이상', '융자금없는', '방세개', '화장실한개']",복도식,0.76,6,15,남향,3,1,https://map.kakao.com/?q=서울시 도봉구 창동 305&service=opensearch,https://fin.land.naver.com/articles/2438472371
37.65114,127.042453,24.08.13.,창동주공3단지,29000,1990,2856,4호선,창동역,644.0,59.22,"방3개,거실확장과앞뒤발코니,귀한타입","['25년이상', '대단지', '방세개', '화장실한개']",복도식,0.53,11,15,남향,3,1,https://map.kakao.com/?q=서울시 도봉구 창동 347&service=opensearch,https://fin.land.naver.com/articles/2439722501
37.65377,127.04056,24.08.13.,창동주공1단지,32000,1990,808,4호선,창동역,772.0,59.22,전체올수리 방3개  입주협의,"['25년이상', '올수리', '방세개', '화장실한개']",복도식,1,6,15,남향,3,1,https://map.kakao.com/?q=서울시 도봉구 창동 305&service=opensearch,https://fin.land.naver.com/articles/2439891800
37.64821,127.042298,24.08.16.,창동주공3단지,33000,1990,2856,4호선,창동역,644.0,84.41,방3화1 융무 빨리도 올수리 계단식 주방베란다 창동역이마트쌍문역12분내,"['25년이상', '융자금없는', '올수리', '대단지']",계단식,0.53,5,5,남향,3,1,https://map.kakao.com/?q=서울시 도봉구 창동 347&service=opensearch,https://fin.land.naver.com/articles/2440360366
37.58941,126.93684,24.07.25.,현대,45000,1989,610,3호선,홍제역,744.0,74.52,"샷시욕실주방등 수리되어깨끗, 입주협의, 전망굿, 홍제역 도보가능 ","['25년이상', '융자금없는', '방세개', '화장실한개']",계단식,0.5,9,14,남향,3,1,https://map.kakao.com/?q=서울시 서대문구 홍은동 202-5&service=opensearch,https://fin.land.naver.com/articles/2436687389
