lat,lng,atclCfmYmd,atclNm,market_price,year,household_count,subway_line,subway_name,subway_distance,spc2,atclFetrDesc,tagList,현관구조,parking_per_household,min_floor,max_floor,direction,rooms,bath_rooms,location,atclNo,dates
37.62901,127.04651,24.08.27.,월계극동,35000,1996,199,,,,80.28,깨끗하게 수리된집 월세 보1억에 90만원 가능,"['25년이상', '방세개', '화장실두개', '저층']",계단식,0.63,3,17,남서향,3,2,https://map.kakao.com/?q=서울시 노원구 월계동 803-1&service=opensearch,https://fin.land.naver.com/articles/2442230760,['24.08.27.']
37.50786,126.84101,24.08.27.,신정현대6차,37000,2000,703,,,,59.4,"남서향,컨디션베리굿,인덕션,조용한동,산뷰,입주협의","['25년이내', '융자금적은', '방세개', '화장실한개']",복도식,1.15,저,20,남서향,3,1,https://map.kakao.com/?q=서울시 양천구 신정동 743-2&service=opensearch,https://fin.land.naver.com/articles/2442297586,['24.08.27.']
37.681923,127.048531,24.08.28.,도봉유원,36000,1990,286,1호선,도봉역,477.0,84.93,남향 올수리해 드림 아주깨끗 역세권,"['25년이상', '올수리', '역세권', '1층']",계단식,0.5,1,15,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 도봉동 83&service=opensearch,https://fin.land.naver.com/articles/2442342138,['24.08.28.']
37.508164,126.842263,24.08.28.,신정현대6차,35000,2000,703,,,,59.4,깨끗 초중고 인접  교통편리 입주일 협의,"['25년이내', '방세개', '화장실한개', '세대당1대']",복도식,1.15,4,20,동향,3,1,https://map.kakao.com/?q=서울시 양천구 신정동 743-2&service=opensearch,https://fin.land.naver.com/articles/2442476654,['24.08.28.']
37.66019,127.0327,24.08.28.,벽산1차,33000,1991,489,,,,72.01,상태깨끗 입주 협의가능,"['25년이상', '방세개', '화장실한개', '주차가능']",계단식,0,5,15,남동향,3,1,https://map.kakao.com/?q=서울시 도봉구 방학동 275&service=opensearch,https://fin.land.naver.com/articles/2442427095,['24.08.28.']
37.64214,127.0381,24.08.28.,창동대우,36500,1995,952,4호선,쌍문역,861.0,84.88,일부수리되어 깨끗함. 시세보다 저렴한 귀한 전세,"['25년이상', '융자금없는', '1층', '방세개']",계단식,1.07,1,19,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 창동 804&service=opensearch,https://fin.land.naver.com/articles/2442459748,['24.08.28.']
37.335282,127.11852,24.08.28.,무지개12단지주공,37000,1995,905,,,,59.98,5년전올수리 빠른입주가능 구미초인접단지 트인전망 조용한단지,"['25년이상', '올수리', '방세개', '화장실한개']",복합식,1,10,25,서향,3,1,https://map.kakao.com/?q=경기도 성남시 분당구 구미동 212&service=opensearch,https://fin.land.naver.com/articles/2442421695,['24.08.28.']
37.65779,127.02538,24.08.28.,청구,37000,1994,978,,,,84.97,위치 편리성굳 초당초선덕중고 내부일부수리깨끗,"['25년이상', '방세개', '화장실두개', '중층']",계단식,0.65,7,11,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 방학동 734&service=opensearch,https://fin.land.naver.com/articles/2442435029,['24.08.28.']
37.508164,126.842263,24.08.28.,신정현대6차,35000,2000,703,,,,59.4,저렴하고 귀한전세 정상입주 융자무,"['25년이내', '방세개', '화장실한개', '세대당1대']",복도식,1.1,4,20,동향,3,1,https://map.kakao.com/?q=서울시 양천구 신정동 743-2&service=opensearch,https://fin.land.naver.com/articles/2442464831,['24.08.28.']
37.668082,127.081307,24.08.29.,불암현대,26000,1999,826,4호선,당고개역,503.0,59.4,정상 내부수리되어완전깨끗강추천,"['25년이내', '역세권', '방세개', '화장실한개']",복도식,1,9,22,남서향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1293&service=opensearch,https://fin.land.naver.com/articles/2442702542,['24.08.29.']
37.62953,127.04599,24.08.29.,월계극동,36000,1996,199,,,,80.28,앞이 막힘없이 전망이 좋은 집,"['25년이상', '융자금없는', '방세개', '화장실두개']",복합식,1,7,14,남서향,3,2,https://map.kakao.com/?q=서울시 노원구 월계동 803-1&service=opensearch,https://fin.land.naver.com/articles/2442638665,['24.08.29.']
37.62901,127.04651,24.08.29.,월계극동,35000,1996,199,,,,80.28,아이키우기 좋은 1층집으로 내부 수리해 드려요,"['25년이상', '1층', '방세개', '화장실두개']",계단식,0.63,1,17,남서향,3,2,https://map.kakao.com/?q=서울시 노원구 월계동 803-1&service=opensearch,https://fin.land.naver.com/articles/2442572819,['24.08.29.']
37.5792,126.81223,24.08.29.,동성,35000,1993,686,5호선,방화역,365.0,64.65,전체수리,"['25년이상', '역세권', '방세개', '화장실한개']",계단식,1.27,2,14,남향,3,1,https://map.kakao.com/?q=서울시 강서구 방화동 817&service=opensearch,https://fin.land.naver.com/articles/2442665816,['24.08.29.']
37.65377,127.04056,24.08.29.,창동주공1단지,31000,1990,808,1호선,창동역,772.0,59.22,"방3, 전체수리, 개별난방, 입주협의","['25년이상', '방세개', '화장실한개', '중층']",복도식,0.76,6,15,남향,3,1,https://map.kakao.com/?q=서울시 도봉구 창동 305&service=opensearch,https://fin.land.naver.com/articles/2442683028,['24.08.29.']
37.657711,127.024065,24.08.29.,우성1차,35000,1992,658,,,,84.69,특올수리됨 협의입주가능 ,"['25년이상', '올수리', '방세개', '화장실두개']",계단식,3,9,12,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 방학동 507&service=opensearch,https://fin.land.naver.com/articles/2442730010,['24.08.29.']
37.629297,127.062356,24.08.29.,성원4단지,33000,1995,713,1호선,월계역,846.0,59.94,전체수리됨 남향 주거환경양호 이마트 학교 인접,"['25년이상', '융자금없는', '방세개', '화장실한개']",복도식,1,5,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 월계동 322-1&service=opensearch,https://fin.land.naver.com/articles/2442568552,['24.08.29.']
